ID,date,username,verdict
10916843762,2010-10-12,Будянский Валентин Евгеньевич,Возрождение таланта
9681638067,2019-05-07,Фергасова Дарья Богдановна,Приобретение магической силы
8773887956,2016-11-16,Босолаев Николай Андреевич,Обретение мира
12197591501,2022-08-16,Отюзский Евгений Валериевич,Победа в соревновании
9949900273,2006-06-22,Енакаев Вячеслав Андреевич,Новые возможности
10943568967,2003-05-13,Журонов Юрий Михаилович,Победа над тьмой внутри
10085824345,2013-10-17,Евлошин Пётр Иванович,error
10330959619,2006-11-08,Макшанов Денис Андреевич,Открытие новой реальности
10335617641,2014-10-13,Матвейцев Михаил Фёдорович,Изменение характера
13198044829,2021-09-07,Саакова Людмила Эдуардовна,Разрешение загадки
9077716890,2020-11-14,Неволин Степан Валериевич,Победа над судьбой
8815033260,2011-06-27,Гглосова Ева Петровна,Признание героем
11834275806,2022-11-15,Бурокова Евгения Кирилловна,Удачное путешествие
10914389594,2011-07-13,Тутубалина Яна Кирилловна,Возвращение домой
11944930520,2011-12-22,Апольцева Валерия Кирилловна,Признание героем
9222988710,2007-10-27,Никулкова Инна Эдуардовна,Рождение ребенка
10082143581,2020-06-22,Киличкин Юрий Антонович,Победа над тьмой
7011453622,2009-09-13,Велиев Герасим Георгиевич,Приключение начинается
10762744476,2023-10-13,Душанин Юрий Алексеевич,Победа над страхом
7712031239,2013-09-24,Брайцева Тамара Олеговна,Освобождение из плена
10080862688,2018-07-10,Тарнакова Кира Олеговна,Победа над страхом
11168941392,2023-05-18,Волочейкин Герасим Вадимович,Победа над тьмой внутри
11215245999,2012-07-14,Ницлавский Владимир Денисович,Покорение невидимого врага
11878103570,2010-09-26,Горюшкин Алексей Антонович,Победа над страхом
10224522003,2006-10-10,Луненкова Клавдия Никитична,Открытие новой реальности
9115825217,2019-08-14,Захрабов Георгий Игоревич,Открытие новой реальности
7411802893,2017-09-24,Синезова Мария Игоревна,Новое начало
9014848877,2003-08-21,Колпачева Тамара Сергеевна,Избавление от проклятия
10940727186,2003-05-11,Никишанов Владимир Викторович,Изменение прошлого
10066614638,2000-06-16,Козулин Ярослав Игоревич,Обретение мудрости
8306703949,2009-09-18,Доболина Мария Егоровна,Покорение тайного мира
8910941499,2020-09-13,Ликсонова Ева Михайловна,Победа над судьбой
12059189853,2018-06-11,Пришкин Василий Викторович,Освобождение из плена
11480828041,2001-06-25,Швабовская София Эдуардовна,Обретение вечной молодости
11581787334,2001-08-12,Хочанский Василий Алексеевич,Покорение тайного мира
12718654025,2022-11-13,Мундштуков Виталий Петрович,Победа над злом
11048071153,2023-12-18,Измалков Олег Михаилович,Обретение внутреннего покоя
11426061058,2000-06-20,Каохцина Алёна Вадимовна,Предсказание будущего
10384650760,2016-10-23,Алеканова Александра Петровна,Новые возможности
10881124239,2010-05-22,Дешуков Артур Алексеевич,Обретение баланса сил
8676497067,2007-10-10,Нициевский Артур Олегович,Помощь от незнакомца
8689403681,2023-08-14,Лорченков Николай Антонович,Обретение душевного спокойствия
11368610893,2008-09-26,Путяков Станислав Вадимович,Победа над тьмой
14519071918,2022-05-13,Русских Александр Василиевич,Изменение судьбы
11144036823,2022-11-28,Браилов Николай Иванович,Долгожданная встреча
7136998150,2010-05-21,Джамбова Тамара Николаевна,Разрешение семейной тайны
10573497313,2017-10-12,Бикмурдина Наталья Петровна,Победа над силами природы
12008377724,2009-11-28,Шамшина Маргарита Кирилловна,Новый старт
11490606806,2016-05-19,Пахошкина Елена Кирилловна,Признание своих способностей
10586385182,2012-10-15,Ланкина Юлия Николаевна,Разрешение семейной тайны
9923668601,2019-12-28,Алембекова Карина Николаевна,Победа над проклятием семьи
11561402779,2015-10-17,Пащарина Алиса Михайловна,Победа в соревновании
9356910375,2012-06-24,Бугаков Виталий Сергеевич,Признание правды
10587285442,2011-11-23,Минникаев Станислав Юриевич,Победа над злом
11444006522,2009-12-13,Бутлицкий Аркадий Михаилович,Успех в учебе
11740352634,2007-09-26,Гиверенков Дмитрий Леонидович,Новая работа
10100080947,2000-05-20,Вышенков Артур Романович,Богатство приходит
10828377914,2008-12-13,Копчинский Степан Юриевич,Признание своей уникальности
8330751153,2010-05-12,Атазарова Ирина Евгеньевна,Освобождение из плена
8983011044,2010-12-15,Пименкова Елена Максимовна,Изменение характера
12815652222,2008-06-18,Айдина Елизавета Валерьевна,Покорение тайного мира
9720796082,2007-08-12,Янкулин Ярослав Яковлевич,Обретение душевного спокойствия
7616946600,2009-07-21,Турнев Иван Павлович,Покорение невозможного
8293260466,2015-12-12,Курбашов Федор Викторович,Победа над сомнениями
11018932869,2004-10-16,Аничин Валентин Вадимович,Рождение ребенка
9249343416,2016-08-28,Кардаев Денис Яковлевич,Новая работа
7571651979,2023-06-28,Беденгов Николай Сергеевич,Разрешение загадки
10357412468,2016-07-12,Казневская София Аркадьевна,Победа в соревновании
10841192498,2006-12-13,Вощаникин Борис Виталиевич,Обретение вечной молодости
11075307319,2012-06-25,Межинский Григорий Юрьевич,Покорение магического зверя
10412328154,2011-07-11,Теумин Борис Михаилович,Раскрытие заговора
7060238682,2000-12-27,Шутенков Артур Евгеньевич,Избавление от проклятия
11255593016,2009-07-09,Бердинова Зинаида Андреевна,Удачное путешествие
10622317006,2005-08-27,Севолкин Эдуард Максимович,Покорение невозможного
9495185548,2014-07-21,Полетов Роман Фёдорович,Возвращение молодости
10086235929,2005-07-18,Агапкин Роман Виталиевич,Обретение баланса сил
11753548108,2017-08-23,Шекимов Максим Романович,Исцеление разбитого сердца
10082310811,2000-12-08,Ялаков Олег Максимович,Помощь от незнакомца
9544968846,2014-11-09,Куряев Борис Данилович,Любовь наступает
12774489433,2000-12-24,Алесинская Тамара Сергеевна,Новый старт
9415342559,2006-07-16,Торчилдина Тамара Олеговна,Возвращение утраченных воспоминаний
13988893190,2011-06-27,Гогощапова Анастасия Борисовна,Разрешение загадки
9884031470,2001-09-16,Воеводкин Дмитрий Иванович,Удачное путешествие
12336796641,2016-08-12,Разинская Маргарита Егоровна,Покупка мечты
7986850355,2022-07-17,Емин Илья Антонович,Приобретение магической силы
9711439835,2014-07-28,Сафицина Тамара Федоровна,Обретение внутреннего покоя
11187449031,2010-05-22,Саямов Виталий Вадимович,Изменение внешности
10941887235,2013-09-12,Ивлюшова Вероника Олеговна,Новые возможности
13876746110,2005-09-25,Слезинская Александра Олеговна,Воссоединение с любимым
9280484231,2006-05-28,Левуткин Алексей Иванович,Покорение неприступной крепости
9134361410,2003-10-12,Бутакова Алла Федоровна,Новая жизнь
11886680475,2019-06-09,Стрибкова Александра Андреевна,Обретение мира
8092231456,2022-05-09,Вараев Георгий Сергеевич,Спасение от опасности
8060784079,2019-05-15,Фортов Юрий Аркадиевич,Здоровье улучшается
8046113027,2008-06-18,Бочина Тамара Николаевна,Обретение душевного спокойствия
11671026614,2006-12-14,Пананов Герасим Денисович,Покорение запретных земель
11006310946,2021-06-28,Тибукова Елена Петровна,Возвращение домой
11379221543,2000-07-20,Люзин Алексей Леонидович,Исцеление разбитого сердца
9054401896,2005-09-24,Финоева Зинаида Ивановна,Покорение тайного мира
10137882860,2010-06-09,Хуслиншина Клара Михайловна,Изменение судьбы нации
11814664118,2021-11-24,Биюшкин Николай Аркадиевич,Долгожданная встреча
14048408712,2000-09-10,Афонишева Александра Богдановна,Любовь наступает
11876833336,2016-08-08,Церлевская Тамара Валерьевна,Удачное путешествие
9861534993,2004-05-22,Ахтанин Павел Иванович,Обретение мира
11528735320,2000-05-27,Чегеров Виталий Павлович,Разрешение загадки
12097968240,2001-07-28,Чичерева Зинаида Кирилловна,Признание правды
10599820290,2016-08-25,Свеклина Людмила Андреевна,Победа над смертью
12643115418,2022-09-20,Алабердова Валентина Дмитриевна,Покорение невозможного
8733738463,2023-05-09,Загниткин Иван Борисович,Здоровье улучшается
11364167329,2007-07-28,Машилов Алексей Юрьевич,Победа над злом
10678427450,2012-06-12,Казызаев Леонид Георгиевич,Победа над силами природы
11620618144,2004-11-24,Хованов Георгий Валериевич,Обретение внутреннего покоя
11567607920,2000-11-16,Мухометова Ксения Кирилловна,Новое начало
11174479187,2016-10-28,Пестинов Геннадий Иванович,Покорение неприступной крепости
9218770259,2021-06-17,Шеботин Степан Валериевич,Раскрытие заговора
10460421793,2021-08-07,Шемкасова Анастасия Петровна,Покорение невозможного
11738954711,2017-10-23,Кахаков Геннадий Алексеевич,error
13193879378,2021-11-17,Криволанов Валерий Павлович,Избавление от проклятия
9727211838,2002-11-24,Петрящева Алиса Ивановна,Изменение будущего мира
12992350836,2003-09-28,Геркин Константин Фёдорович,Раскрытие заговора
10866870024,2016-12-11,Стродымова Людмила Михайловна,Приобретение дружбы
11684317275,2012-05-18,Савукин Семён Максимович,Возрождение таланта
7375817510,2008-06-11,Грюканов Игорь Леонидович,Покорение страсти
14006151716,2006-11-23,Дамсонова Александра Эдуардовна,Победа над собой
12270302757,2006-11-28,Куцаков Алексей Иванович,Достижение цели
8003841833,2016-05-24,Алюлина Ева Дмитриевна,Воссоединение семьи
12064488345,2016-11-16,Марзаганов Тарас Леонидович,Покорение неприступной крепости
9670766589,2002-05-21,Садуллина Елена Богдановна,Восстановление мира и гармонии
12998590834,2004-05-07,Кадухин Евгений Викторович,Семейное счастье
11248862055,2006-12-16,Трацевская Карина Ивановна,Разрешение загадки
10744347568,2011-05-23,Почтина Маргарита Николаевна,Победа над проклятием семьи
11558251088,2020-05-08,Траксин Виталий Иванович,Предсказание будущего
7272037820,2014-12-13,Сорнев Михаил Юриевич,Покорение невозможного
9749993862,2008-05-11,Косапова Ксения Игоревна,Здоровье улучшается
9849722052,2005-10-10,Аюкина Жанна Богдановна,Обретение счастья
11556132480,2003-12-12,Сталевский Виталий Василиевич,Обретение баланса сил
8632310449,2015-05-26,Сочилкин Борис Алексеевич,Победа над силами природы
8068883529,2019-10-24,Осинин Герасим Сергеевич,Долгожданная встреча
10664873437,2000-12-21,Солотин Геннадий Юрьевич,Изменение хода истории
9284863671,2022-10-27,Фиаткина Жанна Ивановна,Восстановление порядка в мире
9068901524,2001-05-11,Гарькавцев Альберт Леонидович,Победа над силами природы
11157374946,2003-10-18,Ретьев Евгений Андреевич,Покупка мечты
12242073281,2016-08-18,Даминский Григорий Виталиевич,Семейное счастье
9955643509,2020-05-28,Чупров Борис Яковлевич,Рождение ребенка
11264852373,2023-09-18,Ротанина Людмила Романовна,Приобретение секрета
11389822516,2015-06-08,Носатов Виталий Максимович,Победа над тьмой внутри
8209100147,2004-10-25,Пожильцева Инна Петровна,Приключение начинается
13894761506,2009-06-10,Селынин Александр Сергеевич,Открытие новой магии
6982845232,2018-05-22,Курзеев Станислав Юриевич,Изменение судьбы нации
11110478140,2008-11-12,Спасина Анна Евгеньевна,Победа над тьмой внутри
9575332210,2016-10-11,Хамбеков Никита Олегович,Долгожданная встреча
11088262627,2011-08-27,Жмирнова Александра Яковлевна,Любовь наступает
10009064804,2002-12-27,Напшева Виктория Михайловна,Обретение счастья
11137209314,2008-11-16,Бацалев Руслан Данилович,Победа над судьбой
10616046680,2011-05-07,Загороднов Юрий Романович,Покорение тайного мира
8987287400,2006-05-17,Хамхоева Раиса Федоровна,Помощь от незнакомца
10905993331,2005-08-09,Черписов Руслан Леонидович,Воссоединение с потерянным
11040908266,2015-10-12,Батулина Юлия Богдановна,Изменение будущего мира
7863668961,2016-07-16,Должиков Михаил Георгиевич,Покорение неприступной крепости
11302880363,2008-10-13,Наролин Олег Романович,Открытие новой реальности
8484546239,2022-12-11,Никулова Надежда Егоровна,Избавление от проклятия
9034805072,2005-11-12,Серьезнов Владислав Павлович,Покорение невозможного
10842950430,2015-08-20,Муравкина Марина Петровна,Победа над злом
9491007887,2016-08-11,Аборонов Георгий Адамович,Помощь от незнакомца
8584458818,2011-06-21,Ляпорова Валерия Вадимовна,Приобретение секрета
10760867107,2002-07-25,Хлебянкина Наталья Николаевна,Раскрытие заговора
8888824846,2006-05-18,Биржева Вера Олеговна,Приобретение дружбы
11415308571,2001-11-25,Кабелев Артур Денисович,Приобретение знания о прошлом
10821332018,2023-09-10,Нипольская Жанна Борисовна,Достижение цели
7865550355,2006-12-18,Суйков Герасим Юриевич,Обретение внутреннего покоя
11550972017,2021-07-27,Нюхарев Денис Максимович,Изменение судьбы нации
8102933160,2002-05-27,Закуев Юрий Денисович,Изменение будущего мира
13606008923,2018-10-13,Дробницкий Степан Михаилович,Обретение мудрости
11359135961,2015-11-08,Гладнов Вячеслав Романович,Признание любви
12301994344,2004-05-28,Адасинский Аркадий Адамович,Победа над силами природы
6856773585,2018-07-27,Гричихин Тарас Аркадиевич,Удачное путешествие
10841921835,2008-07-22,Разсудова Раиса Федоровна,Победа над смертью
9157924724,2000-10-17,Парадизов Роман Георгиевич,Здоровье улучшается
7793652684,2014-10-28,Снетов Семён Денисович,Победа над тьмой внутри
11439454858,2017-10-25,Дубанов Константин Юрьевич,Рождение ребенка
8602498641,2005-08-18,Аврамков Пётр Фёдорович,Победа над судьбой
10445767959,2022-08-11,Анетдинова Ксения Петровна,Победа над тьмой внутри
10997970898,2016-10-14,Стукнина Яна Николаевна,Признание правды
10594661847,2009-12-13,Джагаров Федор Денисович,Обретение мира
10927989770,2010-07-16,Капорулин Артём Олегович,Победа над силами природы
14065892796,2006-10-24,Саустина Вероника Борисовна,Любовь наступает
11062291944,2012-08-08,Турахина Яна Богдановна,Здоровье улучшается
9976800631,2015-06-27,Надточих Максим Петрович,Предсказание будущего
10005453680,2003-08-16,Шимарский Владимир Валериевич,Покупка мечты
10447889659,2001-07-17,Стрежнева Тамара Василевна,Победа над злом
10307607569,2009-08-20,Гагачева Ева Максимовна,Приобретение силы
6619918648,2007-06-10,Кашеева Ольга Алексеевна,Обретение баланса сил
11885708846,2017-12-28,Метлицкий Кирилл Николаевич,Разрешение конфликта
9343970821,2022-09-22,Бушакова Наталья Андреевна,Новое начало
11277326155,2021-10-24,Рюмышева Кристина Николаевна,Восстановление памяти
8518694983,2001-07-28,Сипаторов Олег Павлович,Обретение мира
13030377670,2012-09-12,Свичинский Артур Данилович,Новое начало
10737515458,2017-06-14,Устюшкин Константин Романович,Успех в бизнесе
11060939492,2000-06-07,Пивунова Вероника Федоровна,Разрешение конфликта
11303583824,2016-05-07,Кутяева Вероника Никитична,Рождение ребенка
10689410229,2020-10-23,Кирясова Раиса Вадимовна,Новое начало
9465818723,2000-09-14,Видулова Алла Михайловна,Изменение судьбы нации
8829509909,2014-10-14,Горекина Мария Василевна,Изменение будущего мира
9211206520,2012-09-26,Шамплетова Зинаида Валерьевна,Обретение внутреннего покоя
9816103207,2007-06-20,Шаракина Галина Романовна,Возвращение потерянного
11614498675,2020-09-23,Вербников Андрей Алексиевич,Избавление от проклятия
11797406123,2018-09-22,Кушунина Виолетта Егоровна,Воссоединение семьи
10653761175,2005-08-21,Стельников Вадим Юриевич,Приключение начинается
11415887796,2012-08-14,Княткина Ксения Евгеньевна,Покорение запретных земель
6923641212,2021-08-24,Булеев Иван Антонович,Возвращение потерянного
11329863919,2010-07-10,Пешковский Виталий Валериевич,Приключение начинается
9875767041,2014-05-23,Старастина Клавдия Евгеньевна,Помощь от незнакомца
13858785509,2001-07-14,Петрухин Геннадий Кириллович,Приобретение сверхъестественных способностей
9944298149,2017-08-09,Гусарева Алина Эдуардовна,Воссоединение с потерянным
11468303998,2003-09-21,Смирягин Степан Юрьевич,Покорение запретных земель
12449304471,2005-06-09,Пиканин Альберт Алексеевич,Победа над тьмой внутри
10169789544,2019-08-07,Комбарева Алиса Алексеевна,Признание своей уникальности
10583244332,2017-07-08,Осинягов Аркадий Алексиевич,Победа над проклятием семьи
11518461489,2016-07-12,Уляшкина Людмила Алексеевна,Возвращение потерянного
14330553211,2019-12-18,Кочебина Екатерина Кирилловна,Рождение ребенка
12902350880,2019-05-12,Чуряков Аркадий Аркадиевич,Новые возможности
8583564701,2005-12-19,Кредисов Герасим Петрович,Успех в учебе
7595962738,2011-11-21,Годжев Виталий Георгиевич,Разрешение загадки
10759053410,2018-08-11,Полчанова Зинаида Викторовна,Избавление от проклятия
8863551059,2010-10-22,Линяев Ярослав Сергеевич,Обретение баланса сил
11317051908,2007-12-28,Обрезкова Любовь Максимовна,Покорение невидимого врага
13882735040,2022-11-24,Транкин Артур Михаилович,Семейное счастье
10223000765,2009-09-21,Батягина Ольга Федоровна,Открытие нового мира
7884343129,2003-12-18,Пудин Вадим Борисович,Восстановление памяти
12811942615,2007-07-25,Бруновская Светлана Вадимовна,Покорение магического зверя
8109809640,2019-09-08,Лошин Денис Михаилович,Спасение от опасности
10714523582,2010-12-15,Панцирева Анна Никитична,Победа над проклятием семьи
10807820968,2012-10-25,Мишунина Любовь Ивановна,Приобретение сверхъестественных способностей
12609351101,2023-06-16,Зигангиров Пётр Алексиевич,Воссоединение с потерянным
10719368811,2000-12-27,Маркузин Алексей Романович,Изменение характера
12302785554,2003-08-13,Болышаков Альберт Михаилович,error
11731011730,2011-06-07,Корнизова Кристина Ивановна,Победа над врагом
9419095688,2021-06-27,Усыпин Яков Алексеевич,Обретение мудрости
9596915154,2010-12-25,Зубрилин Роман Фёдорович,Возвращение утраченных воспоминаний
12389353352,2015-10-13,Шалкинская Надежда Егоровна,Победа над смертью
11414253076,2020-08-25,Лисафьев Артур Данилович,Победа над сомнениями
10723349500,2008-11-28,Сплетукова Евгения Дмитриевна,Воссоединение с потерянным
10833427570,2018-12-14,Стуковкин Вячеслав Петрович,Спасение от опасности
9402849314,2019-08-25,Лапшев Илья Тимофеевич,Возвращение молодости
11007034425,2021-05-20,Моралин Альберт Игоревич,Разрешение загадки
7509003667,2007-08-14,Эльдаров Виктор Романович,Воссоединение с потерянным
12550685685,2017-07-20,Амуркова Екатерина Федоровна,Восстановление дружбы
9069008093,2012-10-25,Карюкова Карина Ивановна,Победа над собой
8876471767,2002-05-14,Черский Виталий Романович,Избавление от проклятия
9461590593,2010-06-19,Хондогина Алёна Николаевна,Успех в бизнесе
9124576975,2022-12-12,Аболымов Артур Викторович,Открытие тайны
9160437492,2011-09-09,Каменев Степан Фёдорович,Новое начало
9033122647,2019-06-10,Шахиева Любовь Евгеньевна,Возвращение утраченных воспоминаний
9600427850,2012-11-16,Афиноинова Раиса Игоревна,Приобретение секрета
8747345149,2011-08-27,Хавкунов Роман Василиевич,Победа над смертью
10747591348,2023-07-18,Масеткин Герасим Викторович,Успех в искусстве
12525387928,2021-08-20,Хрипушкина Елизавета Максимовна,Приобретение сверхъестественных способностей
10008160499,2014-09-19,Атакулиева София Максимовна,Победа над врагом
10886673632,2009-05-08,Череменин Руслан Николаевич,Признание своей уникальности
8918252308,2013-10-16,Летовина Евгения Борисовна,Покорение невозможного
11123513661,2023-06-14,Ривлина Валентина Николаевна,Новая жизнь
13527438550,2014-11-19,Потанкин Владимир Денисович,Избавление от проклятия
12748561333,2021-08-26,Икрянников Борис Леонидович,Открытие новой магии
12688701609,2014-06-21,Сыровешкин Владислав Юриевич,Победа над сомнениями
9922399473,2017-06-10,Магомаева Алёна Аркадьевна,Новый дом
10363844426,2016-12-22,Шаволина Надежда Викторовна,Изменение хода истории
10374630741,2016-08-19,Башкайкина Ксения Ивановна,Воссоединение семьи
8574158191,2012-11-25,Камлевская Алиса Сергеевна,Покорение страсти
9086261989,2014-11-19,Лодякова Наталия Петровна,Покорение магического зверя
10302476145,2018-10-21,Ульчицкая Жанна Никитична,Открытие новой магии
9120788146,2002-08-15,Умарова Наталья Романовна,Покорение неприступной крепости
10327080253,2006-07-26,Пистракова Вероника Егоровна,Обретение баланса сил
9232310262,2019-10-15,Косячкова Полина Ивановна,Покорение тайного мира
9030403629,2019-07-17,Бутаева Любовь Евгеньевна,Восстановление дружбы
11531880220,2007-06-15,Сергушова Катерина Эдуардовна,Спасение от опасности
10043784471,2013-10-14,Белькова Лариса Борисовна,Признание любви
11122519144,2005-11-11,Ловнева Кристина Максимовна,Успех в бизнесе
9140600325,2020-10-26,Фоничкин Валерий Фёдорович,Покорение запретных земель
10827014655,2010-07-09,Козурова Кристина Петровна,Покорение тайного мира
10180584117,2000-09-13,Культепина Юлия Андреевна,Новая жизнь
10663036396,2012-08-12,Поплавков Василий Георгиевич,Разрешение загадки
10342972263,2009-05-23,Колдышов Геннадий Адамович,Новое начало
9065951246,2005-11-25,Айдашева Дарья Валерьевна,Победа над несправедливостью
8865508336,2002-10-17,Ситушкина Юлия Егоровна,Признание героем
9267431831,2004-09-28,Щемелина Лиза Кирилловна,Долгожданная встреча
11922292847,2003-08-14,Шипкарев Алексей Леонидович,Изменение судьбы
7763927825,2012-08-16,Калтагова Полина Яковлевна,Покорение неприступной крепости
10212706919,2001-12-08,Пацуков Яков Виталиевич,Исцеление сердца
10246098285,2000-11-19,Мурсякаева Ирина Алексеевна,Приобретение знания о прошлом
10909717773,2005-12-28,Хмелевская Яна Дмитриевна,Признание правды
11382430382,2011-07-22,Курекова Ольга Викторовна,Признание героем
8954842915,2023-11-22,Месягутов Валерий Олегович,Возвращение молодости
9774647225,2006-06-16,Паниотова Алла Богдановна,Рождение ребенка
11756888588,2018-06-12,Ветошников Яков Иванович,Признание своей уникальности
8923865285,2001-11-27,Горовых Эдуард Юриевич,Приобретение магической силы
13375335483,2015-10-10,Лобашкина Любовь Леонидовна,Открытие новой реальности
9598334555,2017-07-11,Зиадинова Анна Федоровна,Возвращение домой
10573327234,2020-10-16,Старицын Василий Максимович,Воссоединение с потерянным
11480165300,2014-06-25,Ципкова Лиза Евгеньевна,Покорение страсти
8557478655,2022-07-26,Тукачева Дарья Аркадьевна,Победа над судьбой
11110267215,2014-09-10,Джиянтаева Валентина Федоровна,Возвращение молодости
10785814565,2021-05-22,Игнатычева Оксана Кирилловна,Семейное счастье
8954215834,2007-05-18,Кудьмин Анатолий Павлович,Семейное счастье
7335911793,2017-07-12,Азарухин Роман Георгиевич,Признание своих способностей
9456139067,2016-06-11,Баровкова Анна Егоровна,Признание своей уникальности
12822303260,2011-12-09,Палиевская Кристина Борисовна,Здоровье улучшается
8915450796,2019-05-18,Туйбова Ольга Ивановна,Здоровье улучшается
10863904110,2000-12-14,Полынков Валентин Яковлевич,Удачное путешествие
8704270324,2005-11-28,Ганцев Георгий Виталиевич,Приобретение дружбы
14869283352,2020-11-19,Алимовская Светлана Евгеньевна,Богатство приходит
